id,REF_AREA,TIME_PERIOD,RIVER_FLOOD_VALUE,TERRITORIAL_LEVEL
DE112F2015,DE112F,2015,34.1,FUA
DE111F2000,DE111F,2000,7.1,FUA
DE111F2015,DE111F,2015,6.8,FUA
DE077F2000,DE077F,2000,14.3,FUA
DE077F2015,DE077F,2015,15.4,FUA
SK003F2000,SK003F,2000,27.7,FUA
SK003F2015,SK003F,2015,27.0,FUA
IT016F2000,IT016F,2000,8.2,FUA
IT016F2015,IT016F,2015,8.2,FUA
USA53F2000,USA53F,2000,0.0,FUA
USA53F2015,USA53F,2015,0.0,FUA
USA184F2000,USA184F,2000,17.9,FUA
USA184F2015,USA184F,2015,19.0,FUA
COL16C2000,COL16C,2000,0.1,CITY
COL16C2015,COL16C,2015,0.2,CITY
DE116C2000,DE116C,2000,7.4,CITY
DE116C2015,DE116C,2015,7.7,CITY
UK533C2000,UK533C,2000,10.9,CITY
UK533C2015,UK533C,2015,11.0,CITY
IT067F2000,IT067F,2000,1.2,FUA
IT067F2015,IT067F,2015,1.2,FUA
KOR21F2000,KOR21F,2000,0.0,FUA
KOR21F2015,KOR21F,2015,0.0,FUA
IT041C2000,IT041C,2000,0.0,CITY
IT041C2015,IT041C,2015,0.0,CITY
IT029F2000,IT029F,2000,4.9,FUA
IT029F2015,IT029F,2015,5.4,FUA
NL031C2000,NL031C,2000,43.6,CITY
NL031C2015,NL031C,2015,44.4,CITY
UK056F2000,UK056F,2000,0.2,FUA
UK056F2015,UK056F,2015,0.2,FUA
CY001C2000,CY001C,2000,0.0,CITY
CY001C2015,CY001C,2015,0.0,CITY
DE059F2000,DE059F,2000,25.8,FUA
DE059F2015,DE059F,2015,26.0,FUA
CZ009C2000,CZ009C,2000,58.5,CITY
CZ009C2015,CZ009C,2015,57.2,CITY
UK024F2000,UK024F,2000,6.7,FUA
UK024F2015,UK024F,2015,6.9,FUA
NZL03F2000,NZL03F,2000,0.0,FUA
NZL03F2015,NZL03F,2015,0.0,FUA
ES045C2000,ES045C,2000,0.0,CITY
ES045C2015,ES045C,2015,0.0,CITY
USA40F2000,USA40F,2000,2.8,FUA
USA40F2015,USA40F,2015,2.8,FUA
HU017F2000,HU017F,2000,4.0,FUA
HU017F2015,HU017F,2015,4.8,FUA
NL017C2000,NL017C,2000,0.0,CITY
NL017C2015,NL017C,2015,0.0,CITY
PT003C2000,PT003C,2000,1.0,CITY
PT003C2015,PT003C,2015,1.0,CITY
MEX64F2000,MEX64F,2000,0.9,FUA
MEX64F2015,MEX64F,2015,1.1,FUA
USA199C2000,USA199C,2000,0.0,CITY
USA199C2015,USA199C,2015,0.0,CITY
DE040F2000,DE040F,2000,9.4,FUA
DE040F2015,DE040F,2015,9.5,FUA
ES046F2000,ES046F,2000,20.1,FUA
ES046F2015,ES046F,2015,19.8,FUA
NL030C2000,NL030C,2000,0.0,CITY
NL030C2015,NL030C,2015,0.0,CITY
NL022C2000,NL022C,2000,0.0,CITY
NL022C2015,NL022C,2015,0.0,CITY
PL023C2000,PL023C,2000,0.0,CITY
PL023C2015,PL023C,2015,0.0,CITY
PL030F2000,PL030F,2000,0.6,FUA
PL030F2015,PL030F,2015,0.6,FUA
KOR05F2000,KOR05F,2000,0.0,FUA
KOR05F2015,KOR05F,2015,0.0,FUA
FR037F2000,FR037F,2000,0.0,FUA
FR037F2015,FR037F,2015,0.0,FUA
FR070F2000,FR070F,2000,0.0,FUA
FR070F2015,FR070F,2015,0.0,FUA
UK010F2000,UK010F,2000,0.2,FUA
UK010F2015,UK010F,2015,0.2,FUA
CL005C2000,CL005C,2000,46.8,CITY
